time,depth,latitude,longitude,temperature,conductivity,salinity
2019-07-27 14:00:00,116.0,61.372616666666666,-177.1699,2.1375,2.91755,32.7838
2019-07-27 15:00:00,116.0,61.372616666666666,-177.1699,2.1366,2.91744,32.7834
2019-07-27 16:00:00,116.0,61.372616666666666,-177.1699,2.1449,2.91801,32.7819
2019-07-27 17:00:00,116.0,61.372616666666666,-177.1699,2.1555,2.91871,32.7796
2019-07-27 18:00:00,116.0,61.372616666666666,-177.1699,2.1602,2.91906,32.7791
2019-07-27 19:00:00,116.0,61.372616666666666,-177.1699,2.1596,2.91906,32.7797
2019-07-27 20:00:00,116.0,61.372616666666666,-177.1699,2.1557,2.91861,32.7782
2019-07-27 21:00:00,116.0,61.372616666666666,-177.1699,2.1568,2.91807,32.7704
2019-07-27 22:00:00,116.0,61.372616666666666,-177.1699,2.1647,2.91833,32.7654
2019-07-27 23:00:00,116.0,61.372616666666666,-177.1699,2.1857,2.92065,32.7725
2019-07-28 00:00:00,116.0,61.372616666666666,-177.1699,2.1918,2.92165,32.7786
2019-07-28 01:00:00,116.0,61.372616666666666,-177.1699,2.1949,2.92237,32.7844
2019-07-28 02:00:00,116.0,61.372616666666666,-177.1699,2.189,2.92212,32.7873
2019-07-28 03:00:00,116.0,61.372616666666666,-177.1699,2.1823,2.92156,32.7873
2019-07-28 04:00:00,116.0,61.372616666666666,-177.1699,2.1902,2.92247,32.7905
2019-07-28 05:00:00,116.0,61.372616666666666,-177.1699,2.1913,2.92264,32.7914
2019-07-28 06:00:00,116.0,61.372616666666666,-177.1699,2.1908,2.92253,32.7906
2019-07-28 07:00:00,116.0,61.372616666666666,-177.1699,2.1898,2.92215,32.7869
2019-07-28 08:00:00,116.0,61.372616666666666,-177.1699,2.1797,2.92085,32.7812
2019-07-28 09:00:00,116.0,61.372616666666666,-177.1699,2.1707,2.91967,32.7759
2019-07-28 10:00:00,116.0,61.372616666666666,-177.1699,2.1703,2.91951,32.7743
2019-07-28 11:00:00,116.0,61.372616666666666,-177.1699,2.1701,2.91933,32.7723
